x;t;f;yintra;yextra;igz;libelle;corde;tmax;tmaxmm;fmax;fmaxmm
0;0;0;0;0;0;wxcvbmlkjhgfd;28;40;11,2;7;1,96
0,28;3,18025;0,077616;1,66774;-1,51251;0,093815
0,56;4,40492;0,153664;2,35612;-2,04879;1,27287
0,84;5,3016;0,228144;2,87895;-2,42266;2,66733
1,12;6,02508;0,301056;3,3136;-2,71148;4,23834
1,4;6,63541;0,3724;3,69011;-2,94531;5,91887
1,68;7,16348;0,442176;4,02392;-3,13957;7,66337
1,96;7,62771;0,510384;4,32424;-3,30347;9,43837
2,24;8,04016;0,577024;4,59711;-3,44306;11,218
2,52;8,40926;0,642096;4,84672;-3,56253;12,9819
2,8;8,74117;0,7056;5,07619;-3,66499;14,7134
3,08;9,04061;0,767536;5,28784;-3,75277;16,3988
3,36;9,31127;0,827904;5,48354;-3,82773;18,0272
3,64;9,55611;0,886704;5,66476;-3,89135;19,5894
3,92;9,77755;0,943936;5,83271;-3,94484;21,078
4,2;9,97763;0,9996;5,98842;-3,98922;22,4869
4,48;10,1581;1,0537;6,13273;-4,02534;23,8115
4,76;10,3203;1,10622;6,26639;-4,05394;25,0481
5,04;10,4657;1,15718;6,39003;-4,07566;26,1939
5,32;10,5953;1,20658;6,50421;-4,09106;27,2472
5,6;10,7101;1,2544;6,60944;-4,10064;28,2068
5,88;10,811;1,30066;6,70615;-4,10483;29,0722
6,16;10,8988;1,34534;6,79473;-4,10404;29,8436
6,44;10,9742;1,38846;6,87555;-4,09862;30,5217
6,72;11,0378;1,43002;6,94893;-4,08889;31,1075
7;11,0903;1,47;7,01516;-4,07516;31,6025
7,28;11,1322;1,50842;7,07452;-4,05769;32,0087
7,56;11,164;1,54526;7,12726;-4,03674;32,3281
7,84;11,1862;1,58054;7,17362;-4,01253;32,5633
8,12;11,1991;1,61426;7,2138;-3,98529;32,7169
8,4;11,2032;1,6464;7,24801;-3,95521;32,7918
8,68;11,1989;1,67698;7,27644;-3,92248;32,7911
8,96;11,1865;1,70598;7,29925;-3,88728;32,7179
9,24;11,1664;1,73342;7,31662;-3,84978;32,5755
9,52;11,1388;1,7593;7,32871;-3,81011;32,3673
9,8;11,1041;1,7836;7,33564;-3,76844;32,0968
10,08;11,0625;1,80634;7,33758;-3,7249;31,7674
10,36;11,0143;1,8275;7,33463;-3,67962;31,3828
10,64;10,9597;1,8471;7,32693;-3,63273;30,9463
10,92;10,8989;1,86514;7,3146;-3,58433;30,4616
11,2;10,8323;1,8816;7,29774;-3,53454;29,9322
11,48;10,7599;1,8965;7,27647;-3,48347;29,3616
11,76;10,6821;1,90982;7,25087;-3,43122;28,7531
12,04;10,5989;1,92158;7,22105;-3,37788;28,1102
12,32;10,5106;1,93178;7,18709;-3,32354;27,4362
12,6;10,4174;1,9404;7,14909;-3,26829;26,7344
12,88;10,3193;1,94746;7,10712;-3,21221;26,0079
13,16;10,2166;1,95294;7,06126;-3,15537;25,2599
13,44;10,1095;1,95686;7,01159;-3,09786;24,4933
13,72;9,99792;1,95922;6,95818;-3,03975;23,7112
14;9,88218;1,96;6,90109;-2,98109;22,9162
14,28;9,76235;1,95922;6,84039;-2,92196;22,1112
14,56;9,63856;1,95686;6,77614;-2,86242;21,2987
14,84;9,51092;1,95294;6,7084;-2,80252;20,4813
15,12;9,37954;1,94746;6,63723;-2,74231;19,6614
15,4;9,24453;1,9404;6,56267;-2,68187;18,8413
15,68;9,10599;1,93178;6,48477;-2,62122;18,0232
15,96;8,96401;1,92158;6,40359;-2,56042;17,2092
16,24;8,81867;1,90982;6,31916;-2,49951;16,4013
16,52;8,67008;1,8965;6,23153;-2,43854;15,6014
16,8;8,51829;1,8816;6,14074;-2,37754;14,8112
17,08;8,36339;1,86514;6,04683;-2,31656;14,0325
17,36;8,20545;1,8471;5,94983;-2,25562;13,2667
17,64;8,04453;1,8275;5,84977;-2,19476;12,5154
17,92;7,88069;1,80634;5,74668;-2,13401;11,7799
18,2;7,71399;1,7836;5,6406;-2,0734;11,0616
18,48;7,54449;1,7593;5,53154;-2,01295;10,3615
18,76;7,37222;1,73342;5,41954;-1,95269;9,68068
19,04;7,19724;1,70598;5,30461;-1,89264;9,02023
19,32;7,01959;1,67698;5,18677;-1,83282;8,38098
19,6;6,83929;1,6464;5,06605;-1,77325;7,76374
19,88;6,65639;1,61426;4,94245;-1,71394;7,16921
20,16;6,47091;1,58054;4,816;-1,65491;6,59802
20,44;6,28288;1,54526;4,6867;-1,59618;6,05069
20,72;6,09232;1,50842;4,55457;-1,53774;5,52768
21;5,89924;1,47;4,41962;-1,47962;5,02937
21,28;5,70366;1,43002;4,28185;-1,42181;4,55603
21,56;5,50559;1,38846;4,14126;-1,36433;4,10787
21,84;5,30504;1,34534;3,99786;-1,30717;3,68501
22,12;5,102;1,30066;3,85166;-1,25034;3,28752
22,4;4,89649;1,2544;3,70264;-1,19384;2,91534
22,68;4,68849;1,20658;3,55082;-1,13767;2,56838
22,96;4,478;1,15718;3,39618;-1,08181;2,24644
23,24;4,265;1,10622;3,23873;-1,02628;1,94925
23,52;4,04949;1,0537;3,07844;-0,971051;1,67647
23,8;3,83145;0,9996;2,91533;-0,916125;1,42765
24,08;3,61085;0,943936;2,74936;-0,861491;1,20229
24,36;3,38768;0,886704;2,58054;-0,807136;0,999788
24,64;3,1619;0,827904;2,40885;-0,753046;0,819459
24,92;2,93349;0,767536;2,23428;-0,699208;0,660528
25,2;2,70241;0,7056;2,0568;-0,645603;0,522126
25,48;2,46862;0,642096;1,87641;-0,592213;0,403289
25,76;2,23209;0,577024;1,69307;-0,53902;0,302954
26,04;1,99277;0,510384;1,50677;-0,486;0,219949
26,32;1,75061;0,442176;1,31748;-0,433131;0,152996
26,6;1,50558;0,3724;1,12519;-0,380389;0,100697
26,88;1,2576;0,301056;0,929858;-0,327746;0,061534
